"S.No","Vehicle Number","Vehicle Type","Route ID","Route Name","Ward Name","Route Length(KM)","Route Covered(KM)","Total Distance(KM)","Route Coverage(%)","Route In Time","Route Out Time","Route Time"
182,"M024 UP14PT7999","Primary - Auto Tipper",683,"W48R2","42","6.77","0.00","26.11","0.00%",,,
183,"MR047-70145297","Primary - Wheel Barrow",583,"W61WBR2","61","0.00","0.00","0.00","0.00%",,,
184,"MR019-70148606","Primary - Wheel Barrow",718,"W61WBR4","61","0.00","0.00","0.00","0.00%",,,
185,"MR029-70145446","Primary - Manual Rickshaw",630,"W2MR1","2","2.39","0.00","0.03","0.00%",,,
186,"M266 UP85ET 7864","Primary - Auto Tipper",580,"W60R1","14","4.31","0.00","28.37","0.00%",,,
187,"M223 UP85AG0959","Primary - Auto Tipper",592,"W6R1","6","15.85","0.00","29.12","0.00%",,,
188,"M232 UP85ET 7839_C","Primary - Auto Tipper",714,"W65R5","65","0.47","0.00","15.48","0.00%",,,
189,"M253 UP85ET 7854","Primary - Auto Tipper",647,"W29R2","29","10.41","0.00","11.80","0.00%",,,
190,"M027 UP14PT8097","Primary - Auto Tipper",527,"W28R1","10","13.51","0.00","37.25","0.00%",,,
191,"MR011-70145214","Primary - Wheel Barrow",667,"W34WBR1","34","0.00","0.00","0.00","0.00%",,,
192,"M075   UP85AG0671","Primary - Auto Tipper",648,"W2R1","2","0.00","0.00","0.00","0.00%",,,
193,"M116 UP85AG0768","Primary - Auto Tipper",343,"W27R5","27","0.00","0.00","0.00","0.00%",,,
194,"M267 UP85ET 7855","Primary - Auto Tipper",620,"W25R2","25","0.00","0.00","0.00","0.00%",,,
195,"MR034-70143664","Primary - Manual Rickshaw",520,"W24MR1","24","1.10","0.00","0.01","0.00%",,,
196,"M197 DL51GD9401_C","Primary - Auto Tipper",734,"W69R3","69","2.40","0.00","8.67","0.00%",,,
197,"MR005-70145768","Primary - Manual Rickshaw",736,"W7MR1","7","0.00","0.00","0.00","0.00%",,,
198,"MR012-70148523","Primary - Manual Rickshaw",731,"W9MR1","9","0.00","0.00","0.00","0.00%",,,
199,"M100   UP85AG0886_C","Primary - Auto Tipper",598,"W17R1","41","5.49","0.00","34.10","0.00%",,,
200,"M008 UP14PT7996","Primary - Auto Tipper",600,"W7R2","35","14.83","0.00","24.31","0.00%",,,
201,"M076  UP85AG0779","Primary - Auto Tipper",410,"W16R6","33","3.67","0.00","23.85","0.00%",,,
202,"M116 UP85AG0768","Primary - Auto Tipper",626,"W20R2","20","0.00","0.00","0.00","0.00%",,,
203,"M116 UP85AG0768","Primary - Auto Tipper",625,"W20R1","20","0.00","0.00","0.00","0.00%",,,
204,"UP85AG0756","Primary - Auto Tipper",574,"W57R2","57","9.90","0.00","66.95","0.00%",,,
205,,,622,"W19R2","19","0.00","0.00","0.00","0.00%",,,
206,"M268 UP85ET 7848","Primary - Auto Tipper",503,"W10R3","10","5.59","0.00","70.34","0.00%",,,
207,"M226 UP85AG0969","Primary - Auto Tipper",475,"W32R4","6","5.89","0.00","31.85","0.00%",,,
208,"M105   UP85AG0800","Primary - Auto Tipper",607,"W21R3","21","9.19","0.00","0.65","0.00%",,,
