"S.No","Vehicle Number","Vehicle Type","Route ID","Route Name","Ward Name","Route Length(KM)","Route Covered(KM)","Total Distance(KM)","Route Coverage(%)","Route In Time","Route Out Time","Route Time"
121,"M275 UP85AG7863","Primary - Auto Tipper",524,"W27R2","27","11.59","2.97","49.07","25.64%","07:08 AM","10:55 AM","3:47"
122,"M076  UP85AG0779","Primary - Auto Tipper",539,"W33R2","33","22.67","5.72","23.85","25.22%","07:18 AM","12:05 PM","4:47"
123,"M080  UP85AG0795_C","Primary - Auto Tipper",703,"W5R1","5","2.14","0.53","13.65","24.95%","07:41 AM","01:04 PM","5:23"
124,"M099 0787","Primary - Auto Tipper",565,"W50R1","21","8.91","2.21","22.36","24.84%","07:51 AM","12:48 PM","4:57"
125,"UP85AG0804","Primary - Auto Tipper",517,"W21R6(C)","21","14.69","3.60","20.31","24.48%","07:55 AM","11:35 AM","3:40"
126,"UP85ET7858","Primary - Auto Tipper",571,"W13R4","13","14.47","3.38","30.14","23.38%","08:14 AM","11:27 AM","3:12"
127,"UP85AG0777","Primary - Auto Tipper",701,"W59R3","59","4.33","1.01","21.68","23.25%","09:38 AM","10:43 AM","1:05"
128,"M022 UP14PT7993_C","Primary - Auto Tipper",608,"W21R5","21","7.57","1.70","29.90","22.47%","07:50 AM","10:45 AM","2:55"
129,"M096   UP85AG0894","Primary - Auto Tipper",641,"W24R3","24","9.61","2.11","35.01","21.90%","09:35 AM","11:21 AM","1:45"
130,"UP85FT2585","Primary - Auto Tipper",724,"W62R1","62","4.74","1.00","3.15","21.14%","08:00 AM","10:56 AM","2:55"
131,"M102   UP85AG0758","Primary - Auto Tipper",573,"W57R1","57","13.61","2.71","35.02","19.88%","08:08 AM","10:13 AM","2:04"
132,"M219 UP85AG0962","Primary - Auto Tipper",586,"W67R1","67","7.56","1.49","25.96","19.77%","09:40 AM","10:51 AM","1:11"
133,"M243 UP85ET 7836","Primary - Auto Tipper",526,"W27R4","27","10.73","2.07","12.31","19.24%","06:56 AM","11:16 AM","4:19"
