S.No.,QR Code ID,Site Name,Zone & Circle,Ward,Building/Street,Type,Latitude,Longitude,Date,Time
4,MVNNDG87,DEEPAK -(UNDERGROUND DUSTBIN),3,52-Chandrapuri,INDUSTRIAL AREA,Underground Dustbin,27.471803,77.664784,03-11-2025,01:29 PM
5,MVNNDG86,AMAN- (UNDERGROUND DUSTBIN),3,38-Civil Lines,CIVIL LINES ,Underground Dustbin,27.47576,77.694124,03-11-2025,01:27 PM
6,MVNNDG85,AMAN-(UNDER GROUND),3,38-Civil Lines,NEAR NAGAR AYUKT HOME ,Underground Dustbin,27.462215,77.697723,03-11-2025,01:22 PM
24,MVNNDG67,VEERESH-(Underground  Dustbin),2,37-Baldevpuri,MAHOLI ROAD,Underground Dustbin,27.481012,77.658234,03-11-2025,12:38 PM
43,MVNNDG47,SUDESH - UNDERGROUND DUSTBIN,1,02-Ambedkar Nagar,LAXMI NAGAR,Underground Dustbin,27.506353,77.698788,01-11-2025,04:47 PM
